"","species","lat","lon","elev","month","tg","tap","tep","shade","depth","tenv"
"12183","Sceloporus_minor",20.874,-99.2241,2537,8,23.5274635924636,20.9679087164919,15.235651529255,1,15,14.2493331109038
"12184","Sceloporus_minor",20.874,-99.2241,2537,8,23.5274635924636,20.9679087164919,16.3762287722788,1,0,14.2493331109038
"12185","Sceloporus_minor",20.874,-99.2241,2537,8,23.5274635924636,20.9679087164919,15.6824632281378,1,5,14.2493331109038
"12186","Sceloporus_minor",20.874,-99.2241,2537,8,23.5274635924636,20.9679087164919,20.9965234328927,0.5,0,14.2493331109038
"12187","Sceloporus_minor",20.874,-99.2241,2537,8,23.5274635924636,20.9679087164919,19.2356621333504,0.5,5,14.2493331109038
"12188","Sceloporus_minor",20.874,-99.2241,2537,8,23.5274635924636,20.9679087164919,18.5399523593675,0.5,10,14.2493331109038
"12189","Sceloporus_minor",20.874,-99.2241,2537,8,23.5274635924636,20.9679087164919,17.8584332598607,0.5,15,14.2493331109038
"12190","Sceloporus_minor",20.874,-99.2241,2537,8,23.5274635924636,20.9679087164919,21.6294783538241,0,10,14.2493331109038
"12191","Sceloporus_minor",20.874,-99.2241,2537,8,23.5274635924636,20.9679087164919,20.4812149904664,0,15,14.2493331109038
"12192","Sceloporus_minor",20.874,-99.2241,2537,8,23.5274635924636,20.9679087164919,22.788861038563,0,5,14.2493331109038
"12193","Sceloporus_minor",20.874,-99.2241,2537,9,22.4484030869284,20.3650889823832,17.2342323191105,0.5,10,13.4501874562307
"12194","Sceloporus_minor",20.874,-99.2241,2537,9,22.4484030869284,20.3650889823832,19.4217985363961,0.5,0,13.4501874562307
"12195","Sceloporus_minor",20.874,-99.2241,2537,9,22.4484030869284,20.3650889823832,17.8276599526645,0.5,5,13.4501874562307
"12196","Sceloporus_minor",20.874,-99.2241,2537,9,22.4484030869284,20.3650889823832,23.4897879736432,0,0,13.4501874562307
"12197","Sceloporus_minor",20.874,-99.2241,2537,9,22.4484030869284,20.3650889823832,20.9352078238431,0,5,13.4501874562307
"12198","Sceloporus_minor",20.874,-99.2241,2537,9,22.4484030869284,20.3650889823832,15.3538090991491,1,0,13.4501874562307
"12199","Sceloporus_minor",20.874,-99.2241,2537,9,22.4484030869284,20.3650889823832,14.7201120814859,1,5,13.4501874562307
"12200","Sceloporus_minor",20.874,-99.2241,2537,9,22.4484030869284,20.3650889823832,14.5222585794459,1,10,13.4501874562307
"12201","Sceloporus_minor",20.874,-99.2241,2537,9,22.4484030869284,20.3650889823832,14.3374132818904,1,15,13.4501874562307
"12202","Sceloporus_minor",20.874,-99.2241,2537,9,22.4484030869284,20.3650889823832,16.6521638288453,0.5,15,13.4501874562307
"12203","Sceloporus_minor",20.874,-99.2241,2537,9,22.4484030869284,20.3650889823832,19.9462060587752,0,10,13.4501874562307
"12204","Sceloporus_minor",20.874,-99.2241,2537,9,22.4484030869284,20.3650889823832,18.9669143758001,0,15,13.4501874562307
"12205","Sceloporus_minor",20.874,-99.2241,2537,10,21.0938564103746,19.6766591958349,12.3684556902497,1,15,11.6142767449702
"12206","Sceloporus_minor",20.874,-99.2241,2537,10,21.0938564103746,19.6766591958349,13.2390717555419,1,0,11.6142767449702
"12207","Sceloporus_minor",20.874,-99.2241,2537,10,21.0938564103746,19.6766591958349,12.6905139488956,1,5,11.6142767449702
"12208","Sceloporus_minor",20.874,-99.2241,2537,10,21.0938564103746,19.6766591958349,12.5342310309853,1,10,11.6142767449702
"12209","Sceloporus_minor",20.874,-99.2241,2537,10,21.0938564103746,19.6766591958349,14.9605480673931,0.5,10,11.6142767449702
"12210","Sceloporus_minor",20.874,-99.2241,2537,10,21.0938564103746,19.6766591958349,14.4510482905935,0.5,15,11.6142767449702
"12211","Sceloporus_minor",20.874,-99.2241,2537,10,21.0938564103746,19.6766591958349,16.8324640178207,0.5,0,11.6142767449702
"12212","Sceloporus_minor",20.874,-99.2241,2537,10,21.0938564103746,19.6766591958349,15.4710408494666,0.5,5,11.6142767449702
"12213","Sceloporus_minor",20.874,-99.2241,2537,10,21.0938564103746,19.6766591958349,20.4258562800994,0,0,11.6142767449702
"12214","Sceloporus_minor",20.874,-99.2241,2537,10,21.0938564103746,19.6766591958349,18.2515677500376,0,5,11.6142767449702
"12215","Sceloporus_minor",20.874,-99.2241,2537,10,21.0938564103746,19.6766591958349,17.3868651038009,0,10,11.6142767449702
"12216","Sceloporus_minor",20.874,-99.2241,2537,10,21.0938564103746,19.6766591958349,16.5336408909374,0,15,11.6142767449702
"12217","Sceloporus_minor",20.874,-99.2241,2537,11,18.9508474663536,19.2574893394285,17.2500744006252,0,0,9.74679758818364
"12218","Sceloporus_minor",20.874,-99.2241,2537,11,18.9508474663536,19.2574893394285,15.4139835784505,0,5,9.74679758818364
"12219","Sceloporus_minor",20.874,-99.2241,2537,11,18.9508474663536,19.2574893394285,14.6570791590557,0,10,9.74679758818364
"12220","Sceloporus_minor",20.874,-99.2241,2537,11,18.9508474663536,19.2574893394285,13.9217052262382,0,15,9.74679758818364
"12221","Sceloporus_minor",20.874,-99.2241,2537,11,18.9508474663536,19.2574893394285,10.6977059482212,1,5,9.74679758818364
"12222","Sceloporus_minor",20.874,-99.2241,2537,11,18.9508474663536,19.2574893394285,10.5509823533612,1,10,9.74679758818364
"12223","Sceloporus_minor",20.874,-99.2241,2537,11,18.9508474663536,19.2574893394285,10.4059852394421,1,15,9.74679758818364
"12224","Sceloporus_minor",20.874,-99.2241,2537,11,18.9508474663536,19.2574893394285,12.1638452328401,0.5,15,9.74679758818364
"12225","Sceloporus_minor",20.874,-99.2241,2537,11,18.9508474663536,19.2574893394285,14.2106006502744,0.5,0,9.74679758818364
"12226","Sceloporus_minor",20.874,-99.2241,2537,11,18.9508474663536,19.2574893394285,13.0558447633358,0.5,5,9.74679758818364
"12227","Sceloporus_minor",20.874,-99.2241,2537,11,18.9508474663536,19.2574893394285,12.6040307562084,0.5,10,9.74679758818364
"12228","Sceloporus_minor",20.874,-99.2241,2537,11,18.9508474663536,19.2574893394285,11.1711268999237,1,0,9.74679758818364
"12229","Sceloporus_minor",20.874,-99.2241,2537,12,17.0468197347566,17.8162117673127,11.8219482579924,0,15,8.41790565196522
"12230","Sceloporus_minor",20.874,-99.2241,2537,12,17.0468197347566,17.8162117673127,11.1725415368283,0.5,5,8.41790565196522
"12231","Sceloporus_minor",20.874,-99.2241,2537,12,17.0468197347566,17.8162117673127,10.7724873202951,0.5,10,8.41790565196522
"12232","Sceloporus_minor",20.874,-99.2241,2537,12,17.0468197347566,17.8162117673127,10.3950204878946,0.5,15,8.41790565196522
"12233","Sceloporus_minor",20.874,-99.2241,2537,12,17.0468197347566,17.8162117673127,12.1663596489703,0.5,0,8.41790565196522
"12234","Sceloporus_minor",20.874,-99.2241,2537,12,17.0468197347566,17.8162117673127,14.698139779835,0,0,8.41790565196522
"12235","Sceloporus_minor",20.874,-99.2241,2537,12,17.0468197347566,17.8162117673127,13.1098380938829,0,5,8.41790565196522
"12236","Sceloporus_minor",20.874,-99.2241,2537,12,17.0468197347566,17.8162117673127,12.451543557189,0,10,8.41790565196522
"12237","Sceloporus_minor",20.874,-99.2241,2537,12,17.0468197347566,17.8162117673127,9.6345795181056,1,0,8.41790565196522
"12238","Sceloporus_minor",20.874,-99.2241,2537,12,17.0468197347566,17.8162117673127,9.23524497977366,1,5,8.41790565196522
"12239","Sceloporus_minor",20.874,-99.2241,2537,12,17.0468197347566,17.8162117673127,9.0934310834012,1,10,8.41790565196522
"12240","Sceloporus_minor",20.874,-99.2241,2537,12,17.0468197347566,17.8162117673127,8.96809271779679,1,15,8.41790565196522
"12241","Sceloporus_mucronatus",19.208,-99.277,3508,1,14.5455351407754,15.7480864018316,11.0086436182816,0,0,3.01699045678892
"12242","Sceloporus_mucronatus",19.208,-99.277,3508,1,14.5455351407754,15.7480864018316,9.18534009842848,0,5,3.01699045678892
"12243","Sceloporus_mucronatus",19.208,-99.277,3508,1,14.5455351407754,15.7480864018316,8.36495423147863,0,10,3.01699045678892
"12244","Sceloporus_mucronatus",19.208,-99.277,3508,1,14.5455351407754,15.7480864018316,7.56523674030074,0,15,3.01699045678892
"12245","Sceloporus_mucronatus",19.208,-99.277,3508,1,14.5455351407754,15.7480864018316,4.10825276408595,1,5,3.01699045678892
"12246","Sceloporus_mucronatus",19.208,-99.277,3508,1,14.5455351407754,15.7480864018316,3.93198494639516,1,10,3.01699045678892
"12247","Sceloporus_mucronatus",19.208,-99.277,3508,1,14.5455351407754,15.7480864018316,3.764739504739,1,15,3.01699045678892
"12248","Sceloporus_mucronatus",19.208,-99.277,3508,1,14.5455351407754,15.7480864018316,5.66498812251987,0.5,15,3.01699045678892
"12249","Sceloporus_mucronatus",19.208,-99.277,3508,1,14.5455351407754,15.7480864018316,7.84631393576882,0.5,0,3.01699045678892
"12250","Sceloporus_mucronatus",19.208,-99.277,3508,1,14.5455351407754,15.7480864018316,6.64679643125721,0.5,5,3.01699045678892
"12251","Sceloporus_mucronatus",19.208,-99.277,3508,1,14.5455351407754,15.7480864018316,6.1484695889369,0.5,10,3.01699045678892
"12252","Sceloporus_mucronatus",19.208,-99.277,3508,1,14.5455351407754,15.7480864018316,4.68398425325603,1,0,3.01699045678892
"12253","Sceloporus_mucronatus",19.208,-99.277,3508,2,16.2462739272279,17.09376349438,9.31432974524657,0,15,3.92744093239632
"12254","Sceloporus_mucronatus",19.208,-99.277,3508,2,16.2462739272279,17.09376349438,8.22805403683703,0.5,5,3.92744093239632
"12255","Sceloporus_mucronatus",19.208,-99.277,3508,2,16.2462739272279,17.09376349438,7.62210864487462,0.5,10,3.92744093239632
"12256","Sceloporus_mucronatus",19.208,-99.277,3508,2,16.2462739272279,17.09376349438,7.04004800480983,0.5,15,3.92744093239632
"12257","Sceloporus_mucronatus",19.208,-99.277,3508,2,16.2462739272279,17.09376349438,9.58572157563066,0.5,0,3.92744093239632
"12258","Sceloporus_mucronatus",19.208,-99.277,3508,2,16.2462739272279,17.09376349438,13.395128124417,0,0,3.92744093239632
"12259","Sceloporus_mucronatus",19.208,-99.277,3508,2,16.2462739272279,17.09376349438,11.2899175859261,0,5,3.92744093239632
"12260","Sceloporus_mucronatus",19.208,-99.277,3508,2,16.2462739272279,17.09376349438,10.2876458016568,0,10,3.92744093239632
"12261","Sceloporus_mucronatus",19.208,-99.277,3508,2,16.2462739272279,17.09376349438,5.77631502684427,1,0,3.92744093239632
