"","parity","species","lat","lon","elev","topt_a","ctmin_a","ctmax_a","source","za","ze","n","source_lh","activity","substrate","biome","eggs_seen","hatchlings_seen","breed_ref","breed_other_species","nest_depth","nest_shade","nest_ref"
"38","Oviparous","Sceloporus_graciosus",33.9,-116.4,383,32.6,4.7,44.7,"b",6.31,0.78,5.4,"dg","Diurnal","Arboreal&Saxicolous&Terrestrial","Deserts & Xeric Shrublands",5,8,36,"",NA,NA,NA
"39","Oviparous","Sceloporus_graciosus",44.725,-110.703,2300,32.3,9.1,43.6,"dg",6.31,0.78,5.4,"dg","Diurnal","Arboreal&Saxicolous&Terrestrial","Deserts & Xeric Shrublands",6,9,36,"",NA,NA,NA
"40","Oviparous","Sceloporus_magister",31.016,-114.838,11,34.9,10.5,39.7,"dg",26.3,1.55,9.3,"dg","Diurnal","Arboreal&Saxicolous&Terrestrial","Deserts & Xeric Shrublands",5,8,39,"",5,0.5,11
"41","Oviparous","Sceloporus_merriami",29.2,-103,644,32.8,14.1,41.5,"b",4.37,0.55,4.105,"dg","Diurnal","Saxicolous","Deserts & Xeric Shrublands",5,8,42,"",NA,NA,NA
"42","Oviparous","Sceloporus_merriami",29.3,-103.15,994,35,14.1,41.5,"b",4.37,0.55,4.105,"dg","Diurnal","Saxicolous","Deserts & Xeric Shrublands",5,8,42,"",NA,NA,NA
"43","Oviparous","Sceloporus_occidentalis",31.039,-115.765,882,33.2,10.8,38.5,"dg",13.49,0.69,10.1,"dg","Diurnal","Arboreal&Saxicolous&Terrestrial","Deserts & Xeric Shrublands",5,9,44,"",NA,NA,NA
"44","Oviparous","Sceloporus_occidentalis",34.03,-117.82,232,34.8,4.8,44.1,"b",13.49,0.69,10.1,"dg","Diurnal","Arboreal&Saxicolous&Terrestrial","Deserts & Xeric Shrublands",4,8,45,"",NA,NA,NA
"45","Oviparous","Sceloporus_occidentalis",45.8,-121.5,218,34.3,4.6,44.1,"b",13.49,0.69,10.1,"dg","Diurnal","Arboreal&Saxicolous&Terrestrial","Deserts & Xeric Shrublands",4,8,44,"",NA,NA,NA
"46","Oviparous","Sceloporus_orcutti",31.039,-115.765,882,33.1,10.2,36.2,"dg",24.55,1.55,10.1,"dg","Diurnal","Arboreal&Saxicolous","Deserts & Xeric Shrublands",5,9,47,"",NA,NA,NA
"47","Oviparous","Sceloporus_parvus",20.434,-98.746,2331,32.7,13.5,40.3,"dg",3.63,0.43,3.4,"dg","Diurnal","Terrestrial","Deserts & Xeric Shrublands",3,5,49,"",NA,NA,NA
"48","Oviparous","Sceloporus_pyrocephalus",19.178,-102.038,616,33.9,16.2,41.2,"dg",5.89,0.85,5.23,"dg","Diurnal","Arboreal&Terrestrial","Tropical & Subtropical Dry Broadleaf Forests",5,8,50,"",NA,NA,NA
"49","Oviparous","Sceloporus_siniferus",16.032,-95.42,50,34.8,16.7,43,"dg",5.60164108954612,0.856808275562768,4.9,"sb","Diurnal","Terrestrial","Tropical & Subtropical Dry Broadleaf Forests",1,12,51,"",NA,NA,NA
"50","Oviparous","Sceloporus_spinosus",19.735,-98.844,2441,31.8,16.9,39.8,"dg",18.62,0.91,13.85,"dg","Diurnal","Arboreal&Saxicolous&Terrestrial","Deserts & Xeric Shrublands",5,9,10,"",NA,NA,NA
"51","Oviparous","Sceloporus_undulatus",33.556,-81.731,114,32.9,11.4,40.4,"dg",8.91,0.72,9.13,"dg","Diurnal","Arboreal&Saxicolous&Terrestrial","Temperate Broadleaf & Mixed Forests",4,8,53,"",5,0,12
"52","Oviparous","Sceloporus_undulatus",34.43,-82.85,206,35.5,11.4,40.4,"b",8.91,0.72,9.13,"dg","Diurnal","Arboreal&Saxicolous&Terrestrial","Temperate Broadleaf & Mixed Forests",4,8,53,"",5,0,12
"53","Oviparous","Sceloporus_undulatus",37.2,-105.9,2336,38.2,6.5,43.3,"b",8.91,0.72,9.13,"dg","Diurnal","Arboreal&Saxicolous&Terrestrial","Temperate Broadleaf & Mixed Forests",4,8,53,"",5,0,12
"54","Oviparous","Sceloporus_utiformis",20.216,-105.339,245,34,15,40.6,"dg",8.71,1.1,7.02,"dg","Diurnal","Arboreal&Terrestrial","Tropical & Subtropical Dry Broadleaf Forests",7,1,54,"",NA,NA,NA
"55","Oviparous","Sceloporus_variabilis",10.6,-85.7,0,37.5,10.2,43.1,"b",6.17,0.79,3.85,"dg","Diurnal","Arboreal&Saxicolous&Terrestrial","Tropical & Subtropical Moist Broadleaf Forests",3,9,10,"",NA,NA,NA
"56","Oviparous","Sceloporus_variabilis",19.906,-97.632,1402,33.7,10,40.7,"dg",6.17,0.79,3.85,"dg","Diurnal","Arboreal&Saxicolous&Terrestrial","Tropical & Subtropical Moist Broadleaf Forests",3,10,10,"",NA,NA,NA
"57","Oviparous","Sceloporus_woodi",29.167,-81.792,48,37.2,18.9,40.4,"dg",6.31,0.48,4.805,"dg","Diurnal","Terrestrial","Temperate Coniferous Forests",4,11,55,"",5,NA,13
"58","Oviparous","Sceloporus_zosteromus",27.888,-113.696,78,33.9,11.4,40.7,"dg",11.22,1.15,6,"dg","Cathemeral","Arboreal&Saxicolous&Terrestrial","Deserts & Xeric Shrublands",5,8,39,"Sceloporus_magister",NA,NA,NA
"59","Oviparous","Sphaerodactylus_nicholsi",18,-66.9,58,31.1,12.6,40.5,"b",0.21302781273898,0.025822601906346,1,"sb","Diurnal","Terrestrial","Tropical & Subtropical Moist Broadleaf Forests",5,9,56,"",NA,NA,NA
"60","Oviparous","Sphaerodactylus_roosevelti",18,-66.9,58,28.7,11.4,39.5,"b",1.06630658625123,0.187673431868988,1,"sb","Nocturnal","Arboreal&Terrestrial","Tropical & Subtropical Dry Broadleaf Forests",5,9,57,"",NA,NA,NA
